ATL,33,45,84,23
BAL,39,18,76,38
NE,42,21,71,5
BUF,42,55,78,50
CAR,35,14,80,50
CHI,41,50,87,37
CIN,39,8,84,30
CLE,41,28,81,37
DAL,32,46,96,46
DEN,39,45,105,0
DET,42,20,83,3
GB,44,51,88,0
HOU,29,45,95,21
IND,39,46,86,10
JAX,30,22,81,40
KC,39,6,94,35
MIA,25,46,80,12
MIN,44,59,93,14
TEN,36,10,86,47
NO,29,57,90,4
NYG,40,47,73,58
NYJ,40,47,73,58
OAK,37,48,122,16
PHI,39,57,75,10
ARI,33,29,112,4
PIT,40,27,79,57
STL,38,35,90,12
SD,32,42,117,10
SF,37,47,122,26
SEA,47,37,122,20
TB,27,57,82,27
WAS,38,53,77,2
